iter	RMSE
0	2.198005725
1	2.197884705
2	2.197775516
3	2.197679493
4	2.197571774
5	2.197471676
6	2.197375672
7	2.197302359
8	2.197189127
9	2.197067706
10	2.196991303
11	2.196893485
12	2.196809773
13	2.196731133
14	2.196645526
15	2.19657315
16	2.19650002
17	2.19640865
18	2.196300623
19	2.19621917
20	2.196148369
21	2.196035443
22	2.195984429
23	2.195921982
24	2.195855587
25	2.195781332
26	2.195695921
27	2.195636993
28	2.195527487
29	2.195488806
30	2.195407698
31	2.195321549
32	2.195243545
33	2.195151907
34	2.195066942
35	2.194980286
36	2.194884957
37	2.194802511
38	2.194726599
39	2.194630184
40	2.194564359
41	2.194515846
42	2.194436047
43	2.194378733
44	2.194308909
45	2.194214987
46	2.194143016
47	2.19408383
48	2.194014063
49	2.193936669
50	2.193853589
51	2.193777418
52	2.193745972
53	2.193683148
54	2.193603469
55	2.193553413
56	2.193446485
57	2.193381713
58	2.193339658
59	2.193301515
60	2.193268009
61	2.193216039
62	2.193149868
63	2.193088638
64	2.193042296
65	2.192977998
66	2.192894318
67	2.192828051
68	2.192758531
69	2.192708241
70	2.192647413
71	2.192581342
72	2.192512632
73	2.192451813
74	2.192375641
75	2.19230671
76	2.192257951
77	2.192205151
78	2.19215721
79	2.192101262
80	2.192041116
81	2.191970329
82	2.191917675
83	2.191879295
84	2.191823319
85	2.191790941
86	2.191728509
87	2.191687449
88	2.191648479
89	2.191590858
90	2.191503837
91	2.191459089
92	2.191403011
93	2.191339698
94	2.191281646
95	2.191209699
96	2.191147476
97	2.191114889
98	2.191069076
99	2.191040058
100	2.190986474
101	2.190920784
102	2.190846191
103	2.190800341
104	2.190760908
105	2.190698411
106	2.190641991
107	2.190592412
108	2.190523852
109	2.190462835
110	2.190425515
111	2.190344169
112	2.190290675
113	2.190240259
114	2.190207254
115	2.190158345
116	2.190082908
117	2.19002919
118	2.189991795
119	2.18990675
120	2.189862842
121	2.189816124
122	2.189774852
123	2.189712233
124	2.189660472
125	2.189618136
126	2.18954777
127	2.189485065
128	2.189455207
129	2.189417605
130	2.189371477
131	2.189320489
132	2.189252623
133	2.189205308
134	2.189151977
135	2.189125302
136	2.189080799
137	2.18903748
138	2.188980349
139	2.188933678
140	2.188878002
141	2.188836026
142	2.18880093
143	2.18876353
144	2.188721926
145	2.188668949
146	2.188623208
147	2.188580741
148	2.188501341
149	2.188454934
150	2.188407906
151	2.188373271
152	2.188329447
153	2.188318014
154	2.188260045
155	2.188205367
156	2.188154865
157	2.188121438
158	2.188081208
159	2.188025097
160	2.187972439
161	2.187915796
162	2.187878091
163	2.187838532
164	2.187797822
165	2.187739721
166	2.18766687
167	2.187639845
168	2.18757332
169	2.187521509
170	2.187462849
171	2.18741349
172	2.187374605
173	2.187334085
174	2.187301933
175	2.187247909
176	2.187198579
177	2.187144598
178	2.187081708
179	2.187029683
180	2.186968787
181	2.186934479
182	2.186884555
183	2.186816363
184	2.186755814
185	2.18670985
186	2.186673028
187	2.186644488
188	2.186603381
189	2.186553939
190	2.18650206
191	2.186456418
192	2.186396477
193	2.186359331
194	2.18631465
195	2.186286113
196	2.186242183
197	2.186200252
198	2.186158638
199	2.186110142
