iter	Passed	Remaining
0	3	3129
1	5	2525
2	8	2733
3	10	2610
4	12	2585
5	15	2541
6	18	2587
7	21	2664
8	24	2727
9	28	2790
10	30	2734
11	33	2778
12	36	2789
13	39	2789
14	41	2742
15	45	2768
16	48	2797
17	50	2758
18	53	2767
19	57	2807
20	60	2798
21	63	2818
22	65	2780
23	68	2796
24	71	2803
25	75	2809
26	77	2804
27	81	2824
28	84	2823
29	87	2830
30	90	2838
31	93	2834
32	97	2843
33	99	2820
34	101	2804
35	104	2799
36	107	2807
37	110	2807
38	113	2803
39	116	2788
40	119	2792
41	124	2829
42	129	2876
43	134	2924
44	137	2927
45	141	2927
46	144	2930
47	147	2934
48	149	2910
49	152	2889
50	155	2891
51	157	2867
52	160	2864
53	163	2857
54	166	2854
55	169	2858
56	171	2841
57	175	2843
58	178	2846
59	181	2849
60	184	2834
61	187	2831
62	190	2835
63	193	2835
64	197	2835
65	200	2833
66	203	2836
67	207	2839
68	210	2839
69	213	2839
70	215	2825
71	219	2828
72	222	2827
73	226	2828
74	229	2828
75	232	2830
76	236	2832
77	239	2829
78	242	2826
79	245	2825
80	248	2822
81	251	2811
82	254	2814
83	258	2815
84	261	2814
85	264	2814
86	268	2814
87	271	2815
88	273	2803
89	276	2796
90	278	2780
91	281	2781
92	285	2781
93	289	2792
94	292	2789
95	296	2791
96	298	2778
97	302	2782
98	305	2778
99	308	2779
100	312	2777
101	314	2766
102	317	2766
103	320	2759
104	323	2755
105	326	2751
106	329	2750
107	333	2751
108	336	2752
109	340	2752
110	343	2752
111	346	2744
112	349	2744
113	353	2744
114	356	2741
115	359	2740
116	363	2740
117	366	2737
118	369	2737
119	373	2736
120	376	2734
121	379	2732
122	383	2732
123	386	2731
124	390	2731
125	393	2729
126	396	2727
127	400	2725
128	403	2724
129	407	2723
130	410	2723
131	414	2723
132	417	2722
133	421	2725
134	425	2726
135	429	2725
136	432	2723
137	435	2721
138	439	2720
139	442	2719
140	446	2719
141	449	2716
142	451	2707
143	455	2705
144	457	2699
145	461	2697
146	464	2695
147	467	2692
148	470	2688
149	473	2684
150	477	2682
151	480	2679
152	483	2675
153	485	2667
154	489	2666
155	492	2664
156	494	2656
157	498	2654
158	501	2653
159	505	2652
160	508	2649
161	511	2647
162	515	2647
163	519	2647
164	522	2645
165	526	2644
166	529	2642
167	533	2640
168	536	2639
169	540	2637
170	543	2635
171	547	2633
172	550	2631
173	553	2629
174	557	2627
175	560	2624
176	563	2621
177	567	2618
178	570	2615
179	572	2607
180	575	2604
181	578	2602
182	582	2599
183	585	2597
184	588	2594
185	592	2593
186	596	2591
187	599	2589
188	602	2586
189	606	2584
190	608	2575
191	611	2573
192	614	2570
193	618	2567
194	621	2566
195	625	2564
196	628	2560
197	631	2558
198	635	2557
199	639	2556
200	642	2554
201	645	2551
202	649	2549
203	652	2547
204	656	2545
205	659	2542
206	663	2540
207	666	2537
208	669	2535
209	673	2532
210	676	2530
211	679	2526
212	681	2518
213	684	2515
214	688	2512
215	691	2510
216	695	2508
217	698	2505
218	701	2502
219	705	2500
220	708	2497
221	711	2494
222	714	2490
223	718	2488
224	721	2486
225	725	2483
226	727	2476
227	730	2473
228	733	2470
229	737	2467
230	740	2465
231	743	2461
232	747	2459
233	750	2457
234	754	2454
235	757	2452
236	760	2449
237	764	2446
238	767	2443
239	770	2439
240	772	2432
241	775	2429
242	779	2427
243	782	2424
244	785	2421
245	789	2418
246	792	2415
247	796	2413
248	799	2411
249	803	2409
250	806	2407
251	810	2405
252	814	2403
253	817	2400
254	820	2397
255	824	2394
256	827	2392
257	831	2389
258	832	2382
259	836	2379
260	839	2376
261	842	2373
262	845	2370
263	849	2367
264	852	2364
265	855	2361
266	858	2358
267	862	2355
268	865	2352
269	869	2350
270	872	2347
271	876	2346
272	880	2343
273	883	2340
274	886	2337
275	890	2334
276	893	2332
277	896	2329
278	900	2326
279	903	2324
280	907	2321
281	910	2318
282	913	2315
283	917	2312
284	920	2309
285	923	2305
286	926	2302
287	930	2300
288	934	2297
289	937	2295
290	940	2291
291	943	2288
292	947	2285
293	950	2282
294	954	2280
295	957	2277
296	960	2273
